"region_id","space_name","wapcov_id","space_name","intersectionpercentage"
938,MachineLearningAndGraphics2,296,"3144-clwa-4219",0.0
938,MachineLearningAndGraphics2,297,"3144-clwa-4039",0.0345268542967219
938,MachineLearningAndGraphics2,298,"3144-clwa-4019",0.0
938,MachineLearningAndGraphics2,299,"3144-clwa-4059",0.5812266342764775
938,MachineLearningAndGraphics2,300,"3144-clwa-4051",0.3482933865581317
938,MachineLearningAndGraphics2,301,"3144-clwa-4065",0.8803085461682215
938,MachineLearningAndGraphics2,302,"3144-clwa-4099",0.7408912484173363
939,MachineLearningAndGraphics1,294,"3144-clwa-4209",0.6187266946313511
939,MachineLearningAndGraphics1,295,"3144-clwa-4231",0.8906278805108667
939,MachineLearningAndGraphics1,296,"3144-clwa-4219",0.8891804761727553
939,MachineLearningAndGraphics1,297,"3144-clwa-4039",0.0
939,MachineLearningAndGraphics1,298,"3144-clwa-4019",0.15140568537435956
939,MachineLearningAndGraphics1,299,"3144-clwa-4059",0.0006879475151011
939,MachineLearningAndGraphics1,300,"3144-clwa-4051",0.004270275702047938
939,MachineLearningAndGraphics1,301,"3144-clwa-4065",0.0
939,MachineLearningAndGraphics1,302,"3144-clwa-4099",0.0
940,NorthClassroom,460,"3141-clwa-1420",0.0
940,NorthClassroom,461,"3141-clwa-1412",0.10730316162087264
940,NorthClassroom,462,"3141-clwa-1429",0.0
940,NorthClassroom,463,"3141-clwa-1427",0.0
940,NorthClassroom,464,"3141-clwa-1425",0.0
940,NorthClassroom,465,"3141-clwa-1423",0.0
940,NorthClassroom,466,"3141-clwa-1422",0.0
940,NorthClassroom,467,"3141-clwa-1433",0.0
940,NorthClassroom,468,"3141-clwa-1431",0.0
940,NorthClassroom,469,"3141-clwb-1200",0.49190451814446295
940,NorthClassroom,470,"3141-clwa-1600",0.0
940,NorthClassroom,471,"3141-clwa-1500",0.0
940,NorthClassroom,472,"3141-clwb-1600",0.0
940,NorthClassroom,473,"3141-clwb-1300",1.0000000000000002
940,NorthClassroom,474,"3141-clwa-1300",0.40837493372096006
940,NorthClassroom,475,"3141-clwa-1200",0.9855392121835665
940,NorthClassroom,476,"3141-clwa-1100",0.9463476326404939
940,NorthClassroom,477,"3141-clwd-1100",0.37298392138498954
940,NorthClassroom,478,"3141-clwc-1100",0.5590624752290553
940,NorthClassroom,479,"3141-clwb-1100",0.7882215315647971
940,NorthClassroom,480,"3141-clwe-1100",0.5049012252538649
941,SouthClassroom,460,"3141-clwa-1420",0.0
941,SouthClassroom,461,"3141-clwa-1412",0.0
941,SouthClassroom,462,"3141-clwa-1429",0.5240123452471852
941,SouthClassroom,463,"3141-clwa-1427",0.4965818396484802
941,SouthClassroom,464,"3141-clwa-1425",0.392835799859337
941,SouthClassroom,465,"3141-clwa-1423",0.25785509664438166
941,SouthClassroom,466,"3141-clwa-1422",0.1465064500240345
941,SouthClassroom,467,"3141-clwa-1433",0.8499143366426014
941,SouthClassroom,468,"3141-clwa-1431",0.6206056032139876
941,SouthClassroom,469,"3141-clwb-1200",0.0
941,SouthClassroom,470,"3141-clwa-1600",0.4103343346218662
941,SouthClassroom,471,"3141-clwa-1500",0.6437100956289045
941,SouthClassroom,472,"3141-clwb-1600",0.6252887996259473
941,SouthClassroom,473,"3141-clwb-1300",0.0
941,SouthClassroom,474,"3141-clwa-1300",0.0
941,SouthClassroom,475,"3141-clwa-1200",0.0
941,SouthClassroom,476,"3141-clwa-1100",0.0
941,SouthClassroom,477,"3141-clwd-1100",0.0
941,SouthClassroom,478,"3141-clwc-1100",0.0
941,SouthClassroom,479,"3141-clwb-1100",0.0
941,SouthClassroom,480,"3141-clwe-1100",0.0
942,InnerClassroom,460,"3141-clwa-1420",0.40924471256870304
942,InnerClassroom,461,"3141-clwa-1412",0.29224546900044185
942,InnerClassroom,462,"3141-clwa-1429",0.0
942,InnerClassroom,463,"3141-clwa-1427",0.0
942,InnerClassroom,464,"3141-clwa-1425",0.009755420688333266
