payload,unique_days,unique_DOWs,unique_weeks,last_first_seen,label,group
00002dc6243d2a8c5108084ba322634d8255d5df,1,1,1,1,0.0,
000163a776a2ec254972bf18d0399ef454f5f749,54,7,11,74,0.0,
000370ab4d074c66dd0424ec2b2f5e8e8c002fb4,4,2,3,17,0.0,
0005be11d70706c6998096b89b85e04329eaf63e,5,2,4,36,0.0,
000846a01e8ebcde6fe9ce669ffef6720e10901a,1,1,1,1,0.0,
000962d25b8d304f3547f7cf6a376cc272146226,2,2,2,5,0.0,
000fb7ca1d0413c07f33208112ea3c64f3e2496c,1,1,1,1,0.0,
0010c13c912960608e26caad78b932d380ca4ec9,1,1,1,1,0.0,
00142f3bd5cec681aaceb3e398c87aa729fe25f4,3,2,3,64,0.0,
0014a692d4edb25da6408728ebb67b56f0027519,1,1,1,1,0.0,
00185f200fd3b45b9b912de7f62c23d23054a3bf,1,1,1,1,0.0,
001b600224400c8ae918a4e9e0f064dfe7326b4e,1,1,1,1,0.0,
001d04f47f3f0748c5c82b8c1ea35245a61ee982,6,3,5,52,0.0,
001e317d64d47d8e4ffbc99997620242bb4b6a29,1,1,1,1,0.0,
0021368839169fd3975137b3c62ce56cdf3d1a04,6,2,5,29,0.0,
002261952e915670cb38145b9ffa576aaac47e66,6,4,5,46,0.0,
0022ee9b2e757b173edfee04e4fb30c9d597b7e9,5,4,2,13,0.0,
002643ddcf4e13c70bc86af12280e5046bed788b,1,1,1,1,0.0,
0027156e5e2f52cc3da82efb5fac34521e09c0bc,11,2,8,71,0.0,
0027b92acf613488ccd5182999ea01492207e1cc,3,2,3,31,0.0,
00281774139b3638676feda51bf714be8371e059,7,3,5,66,0.0,
0029f083b5652292dc824b52cc44821443b2b284,10,2,7,64,0.0,
002b0b7f2fbe4a1160c43118ab0138d0551132bf,12,2,9,64,0.0,
002b8cc0fe2c2b3273f98e1ff3d98b55c0dfa1c8,9,3,5,44,0.0,
002e61d9b2eeae759337bceb80febbf6bd31d37e,6,2,6,43,0.0,
002fcf26710678b0baf034148d6202dc2e36584b,5,2,3,15,0.0,
0030a051aa6a62dd34c1e3bd804fdcd381652cb2,11,2,6,43,0.0,
0030dc9e27177f14820789caf182b8c0362b7bc7,1,1,1,1,0.0,
00317ce647ea00f4278e2c62f364c99dfa300dc7,9,5,5,48,0.0,
0033503fb8cdf9667f49cf6ae8194d22fa20c5b5,5,3,3,40,0.0,
0034b2044589003ef7f01909b76d3949ecec8612,4,3,4,57,0.0,
003746164ce3e0f9317cfc404d7bfd5cdd8daefc,1,1,1,1,0.0,
0038d4bf5ff96d7a3b5d2ae930965a06f371d2e8,1,1,1,1,0.0,
0038ea11be566b9fdb8ff64477ed310d91ccaffd,3,2,2,30,0.0,
003ac156eae30749ef8c10f16db5f98e4e5ddd6c,5,1,5,43,0.0,
003bf267337cfce294af74584141560a25950371,2,2,1,3,0.0,
003daab600dd833d7b3994951f3d66ca6a6bb590,1,1,1,1,0.0,
