payload,unique_days,unique_DOWs,unique_weeks,last_first_seen,label,group
0006182aa7d8993db0d40789b6930132731d7126,4,2,3,20,0.0,
000846a01e8ebcde6fe9ce669ffef6720e10901a,9,2,6,44,0.0,
00086d2de1b6b0c9f538a5a28795d4f96048be72,1,1,1,1,0.0,
000962d25b8d304f3547f7cf6a376cc272146226,2,2,2,12,0.0,
000a1aac6c0923e225ddfc5093cb9dd803b2c2d4,5,2,5,39,0.0,
000ce09825714ffbf44643df35358a4a017252df,1,1,1,1,0.0,
0012896deada7d605cc4ff127943cab099fcc6e5,1,1,1,1,0.0,
00135f949f28bb1227271a22c01f8b280e679b25,1,1,1,1,0.0,
00185f200fd3b45b9b912de7f62c23d23054a3bf,7,3,5,48,0.0,
001a254a7e2a13d84a4c0f3ac3509adf305168fb,1,1,1,1,0.0,
001bccfa82c6a5671053ee95f9602f436326224a,11,3,8,46,0.0,
002033957a20595f7356cdcb9f3040d87ebbb70f,2,1,2,15,0.0,
0022ee9b2e757b173edfee04e4fb30c9d597b7e9,1,1,1,1,0.0,
00239f1f526e6054889d426af08abeb7f6046d72,4,2,3,27,0.0,
002403fe71ccb8a84d8b1e4f74d4b44acdb29705,4,2,4,40,0.0,
0027156e5e2f52cc3da82efb5fac34521e09c0bc,9,2,8,65,0.0,
002732df673c46784145c64ca0a76b567b5e015e,4,2,4,30,0.0,
0027b92acf613488ccd5182999ea01492207e1cc,6,2,5,34,0.0,
00298eddcdfa9130a55197b113265e06362ae39e,4,2,3,12,0.0,
002b8cc0fe2c2b3273f98e1ff3d98b55c0dfa1c8,1,1,1,1,0.0,
002d6a4d7d528faa0e93b76f26d734ad8f5f45d4,4,3,2,42,0.0,
002f468e5a7f9a5a4778e2475bcb8a289be26e9b,1,1,1,1,0.0,
0030dc9e27177f14820789caf182b8c0362b7bc7,7,1,7,46,0.0,
00317ce647ea00f4278e2c62f364c99dfa300dc7,8,4,7,50,0.0,
00319dc46fda38b780f80b618b6465fa39c6b255,6,1,6,50,0.0,
0033503fb8cdf9667f49cf6ae8194d22fa20c5b5,2,2,2,23,0.0,
003aa8d96d254897ff8c6a8259790e2d5d1a03f7,2,2,2,23,0.0,
003ac156eae30749ef8c10f16db5f98e4e5ddd6c,2,1,2,11,0.0,
003def127eff517fec42f88cdbc69b8777f65fe6,1,1,1,1,0.0,
003e0885f89e5945c7b78bc65d7303f7c5e09797,1,1,1,1,0.0,
003e3053ba1927230c5339095deb7192a2d552f3,13,5,6,51,0.0,
003fed4acbf2df0f63804a14fb6e16abbe429d92,1,1,1,1,0.0,
00433e3c8d1491d7032e356e4b2ff9cfda73f32f,3,2,3,43,0.0,
00440682a936eea881fd6b42fc7c3f128ab3b718,1,1,1,1,0.0,
00460501b880c1e773415770a6010ac907287289,13,4,10,54,0.0,
004616141c50c000f729b816d88a09ce8a21fa55,2,2,2,13,0.0,
00466befd8f926742b2bf1d6264d1c08e9bcaf24,5,3,4,52,0.0,
004e5054dd16d764ee453698f587be868b1bebba,1,1,1,1,0.0,
004ece6bc56d36087804bb345a5ca2513706d8f4,8,2,8,63,0.0,
004f4d2911b071608d8675578e1c1c9ebe591c45,11,5,8,55,0.0,
005588b56c3711c552f617740e31c5311b60b8cf,1,1,1,1,0.0,
0056a9360851fbba4ba34b09935bb62717e27933,8,4,6,55,0.0,
0057a1fe76ee8ca24f4b33763b4a753f598fa7fc,1,1,1,1,0.0,
0059cd3136d3b0ac10c84f3d8831899ef598f42d,11,7,3,14,0.0,
005a4d9a787d65722905b65826b8f7cd14aa4dd6,2,1,2,15,0.0,
005a8610f1c3f634de9f37116a75de299a72f153,3,3,3,21,0.0,
005c4f95b84d0e0b7ccafa5c4a8f8390407a5e71,3,3,3,56,0.0,
005c5f5924fb2e473bcaf95b49498f6856dd3352,10,2,9,63,0.0,
0060253d0e5dd4bf1f609cb106049c4e0acfd2eb,6,3,5,49,0.0,
0062c4b35f1c97d0b14990134b70deeb794fc786,1,1,1,1,0.0,
0065f6d611186049542f2650e4d52160abd2929d,3,2,3,20,0.0,
006718802525129e845f78f8c45cd9a27d76a275,1,1,1,1,0.0,
006c9ab88ba9c54225b0a83c31b303f67c6f9f85,9,4,7,55,0.0,
006eb0d78900f05606c53ee69258186cd5eaa27b,12,3,8,54,0.0,
006f2c36b3e1dcbdc9f2bdbebbc3d632b1a1fd60,2,2,1,2,0.0,
006f8e9ae3c959af4cc044af3d4a6968a9b3ba05,1,1,1,1,0.0,
007063376db494e5ba72543341da3034f168f43f,2,2,1,3,0.0,
0074eb46e7e28dccd32276408290bc43c7eb6958,13,2,10,58,0.0,
00789caa85605e0d9afb6bb5d5198a4fc6cfc465,1,1,1,1,0.0,
007961a588ee333ebbaf2bf072c43209b4708db1,1,1,1,1,0.0,
00799c36cb0ab2081ac50f9c7ad649a269520b2d,1,1,1,1,0.0,
0082bc302c873888a2c669adb0d01a4440c3968b,1,1,1,1,0.0,
008ce7ab5f721e952e7a96ab1e35483f273cdee8,18,5,9,63,0.0,
008fad5be017b98ef8c719ea48797e99baab096b,1,1,1,1,0.0,
008fb56d04ee10806e875fe543e46f6fc2e3f4bc,7,4,5,56,0.0,
00900fe35c974f1664cdf8bd1ab6ac201891292c,7,2,5,51,0.0,
009149455378ae0b1d103e067a7bad904568b2df,14,3,10,58,0.0,
0091494a92b26105dc12229f785eb1d2775977c4,6,2,6,37,0.0,
0092766cf598f54836f3446b64457a363444c98b,2,1,2,39,0.0,
00949bc0df98cce60261434a8ef5125ee3465c22,1,1,1,1,0.0,
0094f23734aac8ec0e0a6fc31976ca2420caed30,41,7,11,69,0.0,
00960a91a2ce51e3b273c7d3968cffeefa7faf6b,1,1,1,1,0.0,
009bdb3e7601fd66caab9d2c61f5784cec912b62,1,1,1,1,0.0,
009ceb5fca9da2334d6b995e7232ed419021c7e2,2,2,2,25,0.0,
009e8f70e6ef66fef9adb5ba50fa6f1f65877736,6,4,6,53,0.0,
009f9cf7c542f43b1fdbb7c8b9b176dbe58433cd,15,5,9,54,0.0,
00a06d4fd33e344b7927c82302e544731563eebf,7,3,4,23,0.0,
00a345796e5066cd802150ab056839d7e0082b10,4,3,2,15,0.0,
00a88b8453b3bec751d6890cbc0a8c16b1c73dae,1,1,1,1,0.0,
00a9c50fd6396c4db47707e9ad28ed6e8315ab09,4,2,2,47,0.0,
00ab24903f46cea77037671e4622a3819c1b33db,1,1,1,1,0.0,
00ad11f5f8566873902c872cdfa542d414a4c24b,2,2,1,2,0.0,
00b1a03d9b4ff03bcb53ea2fb56f9fae2059ef69,2,2,2,44,0.0,
00b279458fe2d0370b7168c953adc91bdc44aedd,10,5,3,17,0.0,
00b318568083a7acbb90c73780415dc953a973d1,2,2,1,2,0.0,
00b97730a2da6bba7f477c6f5e24ca3e54beaf7f,2,2,2,5,0.0,
00bd274d161df0d90f589fce5c7d46e6197824c4,8,4,5,46,0.0,
00bd8b892a7d9c2ff3cece49fdc59ec6420c1f06,1,1,1,1,0.0,
00bd99e2811c11dbbd64138f4ee8cf60855e6be8,7,5,3,14,0.0,
00c540395857c060c4382e3a6d049ce25a04127c,1,1,1,1,0.0,
00c603c0271a8e49793eaee2558f5b0d1605e3e2,1,1,1,1,0.0,
00c64a31ea65e1091ff0e52b9d38dd094b58a03a,27,6,11,69,2.0,
00c77c4ae0c460cf88568bd76c7fed523b4815be,4,3,3,45,0.0,
00c98192bade90abbc9277008f927899485c6cc3,5,2,4,32,0.0,
00c9de277854cd63521c0e2bc8b728a1e2476343,12,4,7,52,0.0,
00c9f06f18d629bc1433eafa0e5f8287dbe587c2,8,4,5,41,0.0,
00cbece7f1b0b65326b76fd8697fa9c536f1e845,1,1,1,1,0.0,
00cdb6f390f49edda2bbbf2c1f19825053789a4d,1,1,1,1,0.0,
00cea640ca65791a50e3d9f46323cd93cc891165,23,6,8,53,1.0,ML
00d05827621c41dfba35d80c225a813f3c802151,1,1,1,1,0.0,
00d0f78d85bd49343723c431bc2348cd48dc62cb,8,3,6,42,0.0,
00d68b9bce34321ecacbffbff3c5ac531e596ab6,1,1,1,1,0.0,
00da3932d5e43eed42e1dc44f8cb998439a467e1,36,7,9,50,1.0,ISG
00dc69e50ba13f44c2ca8ed8bb306d9065c4939c,20,4,11,64,1.0,STATS
00de1867203c0e98f5c2eeb9a286c24cc87607f7,5,2,5,54,0.0,
00e15dfba5721289256f97c5c65cc116dd938b1f,1,1,1,1,0.0,
00e804a5b154d09dd854ce0d8db4ce0dcdeaff69,2,2,1,3,0.0,
00ed544de6d57c0225d0e771686d6578e15d1fff,2,2,2,7,0.0,
00edc193e8e776eb5ba7de2f3ceef9685fcc616e,3,1,3,42,0.0,
00ee0955cd90623347bc62a7b6a2c4aec554ea6e,2,1,2,25,0.0,
00f245fa27b7b9272beb14ab2ae4d937fc30e507,2,1,2,35,0.0,
00f5ead420a35905f785df6913d638d1c3510763,4,1,4,22,0.0,
00f7b0bf6baf59d771e5ec6d37b0130b2e179a3a,20,5,11,65,0.0,
00f82a7f11a00225059c7b92de428f6aed896e38,1,1,1,1,0.0,
00f859edb0bd460280242865952246aa80a25c5b,3,3,2,27,0.0,
00f87046a15cf7fc9f7ce26ff71eb0f34a971fb0,3,2,3,42,0.0,
00fbf34638852e384fde24a556002fd54f8967ac,13,2,8,46,0.0,
00fc37c850998268c7e2075c8167f0b7dc60aebf,10,5,5,28,0.0,
00ffd38e0e2c7ade2f6dec0d228c295268c7386a,2,2,2,13,0.0,
0100ed4874355c241d109393b488989b32a60178,11,3,7,58,0.0,
0103ec4345d8dc5ec711e765a7f3e60b160411a3,1,1,1,1,0.0,
0107fc40ee70e1092eb9cd234bf490c847cec9c9,8,2,6,34,0.0,
0108a964624cb74187590496dfcac524db468b23,4,2,4,33,0.0,
010d81f1cd6c808fe94c3e9d0539553e336b0662,8,2,6,46,0.0,
0113f323535daa4e9256f7356890dfa3f0c5410f,10,2,7,65,0.0,
0119db2c18122a7c77bb6aeaa869cc8306ae1ef9,10,2,7,51,0.0,
011a8480d438643a6460e63b23957ee24b991d78,24,5,8,59,1.0,ML
011bae7f477bcfdb34250e5d63c753f488a48553,5,2,4,55,0.0,
011c84065d9704e34a332266843cb4beed4adb0c,3,2,3,24,0.0,
011c900da64932bc301c067b6ab0c9298241cc45,2,1,2,8,0.0,
01207a863e2eec048111eec7363e3b80c6bf9078,1,1,1,1,0.0,
0122e25e7828b1cdac05c8c954a0b79b804ed18d,1,1,1,1,0.0,
01275ec3cb943eb15a6e7e7d9bf2b619b093a6a7,1,1,1,1,0.0,
0127b3a3b7b107036f94d7c4ff3bda76cc5bc847,2,1,2,8,0.0,
0128c234c6a605b882ab5c65125330b012ec11cf,12,2,8,51,0.0,
01292aa0e52b60a6de5dc33596dcb34782d8b09c,1,1,1,1,0.0,
01298346d7c354fd861e9502ac4e2d86d2938354,2,2,2,35,0.0,
012ad7e5b8d237b7b0161771e07f50f421f8b709,1,1,1,1,0.0,
01326efb18d29caa6d174f4cbf40f196731daac7,1,1,1,1,0.0,
013309d09d9a780df0985baa905d10fb013b8afd,3,2,2,22,0.0,
0134005cd5e0009ccd50e3fbc87d04e38406f7a6,12,4,8,58,0.0,
0138daf0c32551af49e025eaae49babd17f230b7,3,1,3,32,0.0,
013c6fe29ce0fe2aab119e8bda4eb493e87e8cb8,18,5,9,47,0.0,
01424213c8ead7f6f61f584de3ba18c7dace736c,2,1,2,18,0.0,
014700394cafc6d58be150e30be7b157fddfcff8,9,4,6,35,0.0,
0147e4c3f80eb303208c12e51967f8aa1003c45f,2,2,2,44,0.0,
014b8a174cf47b05551729bfde0b924238665440,6,2,5,55,0.0,
014baebcaffdbe342985a9cfd82ac689e222fcab,1,1,1,1,0.0,
014f88083a2713bea2e6d28043f07bf0b74c8644,1,1,1,1,0.0,
015449c74e12cfc7f59eee93b1f6aa483d7ef735,5,1,5,39,0.0,
01545f6f9da14f24ecb31216b9ee6ea7f5f48223,4,3,4,52,0.0,
01569b2c902bdf2384877071f5d6a880c8e68730,3,2,3,24,0.0,
01586a6d91e64408752fbd381ca878a44507e5d5,1,1,1,1,0.0,
0158f0e2b44cb60b13011b1fa881c5c9ee2f18ae,14,4,8,69,0.0,
015a6feed3bcb1acb4d9d03d69951998f41ba289,1,1,1,1,0.0,
015f794d4f404318e183e08be5c506f40792ad28,4,2,4,32,0.0,
0160036f5e9b987eb724aaaa6fafae94ac76f3ed,5,3,3,27,0.0,
0161c689459b98e104a6d7b20e9822103ce628d5,2,1,2,8,0.0,
01684d0e0220ce7b6ae4656257502459d0fce098,3,2,3,15,0.0,
016a43a5052b0c2cf8a45043bff9b34e26a85731,20,5,10,58,0.0,
016a7ef1d5eb27eae0babf1f4c2c1c8515f0073b,2,2,2,22,0.0,
016c9d85fbb88cdeef13a8d435be2e554cc894a9,6,3,4,19,0.0,
016f9e914bf136e42b3c1eb9377e5f43bca1a5ef,10,5,6,54,0.0,
0172932f4612509a8d01584336e0991f5a475f58,4,1,4,25,0.0,
0172df08e0652117671b553d771ddcb71915c496,3,2,3,19,0.0,
0179a47c8fb424d795bb93217321b08e9eca62b2,2,2,2,11,0.0,
017e30b44ded14952e18068fb610441fc13dfebe,8,5,4,27,0.0,
017f03f7e40b1efc7f9f438fd0601f2e4c40e1cd,1,1,1,1,0.0,
017fb4de142582783f03adaf779f7b7c4f4cf674,4,3,4,35,0.0,
01822ecae7e7fa2f1344d77aa69c39e463de6682,1,1,1,1,0.0,
01847c0464b6641fd93dfb6cdaeb8de7ac92d2da,23,5,9,53,0.0,
018692277663b9cee5cace9b82e6cad878e43582,1,1,1,1,0.0,
018b30a736572333372bba9121252934bdfd3013,4,1,4,46,0.0,
019065c99162e65a5c776beaf3b00f5d8eaabba3,6,3,4,39,0.0,
0190675f9ee10e90d6034561fa4ce963cfec7739,1,1,1,1,0.0,
01918e36b7982bb3a12af9416752548b23816d0d,3,3,2,41,0.0,
01925fafb1bdd71f393db344f66baf2ecb23241c,1,1,1,1,0.0,
01952edcd1a4b79ff7453ad4dd7cebff50c9737f,1,1,1,1,0.0,
019556dc0d8e788a301f1e4ca86b004ac0213144,1,1,1,1,0.0,
0197c969bfd7f37e486c179a06675943955a7f9e,1,1,1,1,0.0,
019ac2e2403ed684547e8f3934fa2baca17dc6c4,2,1,2,15,0.0,
019bdec2cc77e23a6de4f0b35f720f9c36a9bdc2,2,2,1,5,0.0,
019c5834bc9ed4f011fcae22e5fecf4bba4697bb,5,4,4,50,0.0,
019d882e2a5aa58c2cb00d4ad34f2e17a17e032a,1,1,1,1,0.0,
01a0db9cdf89f21b4b325ba10f9843208a919e0f,1,1,1,1,0.0,
01a3fad57efe84d3782f2563d2f601f6de21efcd,1,1,1,1,0.0,
01a6998cbe77bf594c29c8de2187466384741887,1,1,1,1,0.0,
01a7bf0cbbe79a0f5e41c7e4eb7329ff53cd758c,6,2,6,60,0.0,
01a9ec5582fff8b081494af08faa1befca8a8f9d,3,2,3,35,0.0,
01ae8e5def579fa8067af88b309096856b3f398a,1,1,1,1,0.0,
01aedabcd1aa87ad80395723b0fac31ab0eb5be9,2,1,2,49,0.0,
01af22732f823d45fa04accb43941917498bd3a7,6,4,5,37,0.0,
01af5c37dd352f4874f9c2d1512b5e4bf91fba77,1,1,1,1,0.0,
01af8aca9fa6a448c4ed5b28d8e5d3b0d3ab9807,4,2,3,25,0.0,
01b158c94040430bcdf4fe6b49107e24a048bd24,1,1,1,1,0.0,
01b17ac6aea56ea5ddd27b75ae74cf4cfbd5c023,1,1,1,1,0.0,
01b2ae05463950ac4607169164ec6538da4fd02e,6,3,5,52,0.0,
01b336ea7ad43068eeb25afa2debd630e0f277eb,2,2,2,11,0.0,
01b43bff61b5c7b623cd4aa8f20b454210c41122,4,2,4,33,0.0,
01b8eec4deb23a155b3d5bfb12c1320f891addaa,7,3,6,47,0.0,
01bdbe79467adee78be850b4bb6ed93fda849c4b,3,2,3,46,0.0,
01c2aa8ecf3af4d0a784777bf5ad1358c502beba,5,2,4,48,0.0,
01c524f64a591bddcb0ce014a127b4161e4b159f,5,3,3,47,0.0,
01c5783bebad91b4d6ee49d279be9323c2425343,2,2,2,17,0.0,
01c682f7ba8ad3a120b452688e1e08f7d31094e0,1,1,1,1,0.0,
01c78c0f0537f399f22496abff1e2b79bf7b293b,1,1,1,1,0.0,
01ca411def20bf2e3b37aeaf74ee9a6e2371b7ed,4,3,2,10,0.0,
01ca47149a937f5a0850ecd4f5fcf77be5dd53e2,45,7,12,68,1.0,MNS
01cbfb5c9036cef5e718780cf883d30df61158e5,4,1,4,39,0.0,
01cd60a4b0ead74c53fa093b9226d7abe56d6490,1,1,1,1,0.0,
01d3f0bcd5ab603bdcfb848a8ce0e382a38d2b3b,3,2,2,46,0.0,
01d702dbbd00fbf1737435e4f30a6867f41de51e,1,1,1,1,0.0,
01dd43dbc2cc0ce4ded1972a935ef8786dca883e,4,2,3,39,0.0,
01de35c709bf1f50cb7432bb262c3769fcdaae96,4,2,3,22,0.0,
01e0d22f4b820c9f3c723760cbdb97a4df0c57b5,1,1,1,1,0.0,
01e116cb756e780052f03fc6f01c174816769b20,1,1,1,1,0.0,
01e3089bf59422ca010417f14f7d5a946b909cd2,5,2,5,48,0.0,
01e319eb6535a3196b610e33aec0fe294d232931,1,1,1,1,0.0,
01e4092c83e13c85310ef880e9069bf3c8bde24a,3,2,3,37,0.0,
01e4d2137fc2fc73183f7beabd7851f4488cde77,6,3,4,56,0.0,
01e7532ce0460dc303fc05e5deaad9a281dadf23,9,2,8,48,0.0,
01e75f8d31f933809289bcb5fadd965322d78ffd,1,1,1,1,0.0,
01e8030bb0d55411bee7dad814e0220749abaf6c,3,3,2,17,0.0,
01e99d4b4cd8edfbdae949763bd4893406bfb302,2,2,2,26,0.0,
01e9c71364df1ff8d5d6a68884e21ae1300c87a9,3,1,3,24,0.0,
01ea65159d03058da56deb4aea036b5dff27a414,1,1,1,1,0.0,
01ee31bf1c47490c6267445872b316197488c296,2,1,2,15,0.0,
01eeb73a75f0156146cf909a2dfc1a7e0245c7ca,8,3,6,58,0.0,
01ef4d2c8ebd250b8ce866b767ba506349e53a70,5,3,5,51,0.0,
01f145204fc702d40744922062be6980f9327e92,1,1,1,1,0.0,
01f1a5f4124548ae909f17ce0ad484074f4eb046,2,1,2,15,0.0,
01f2af5bc6d69bc18f6441ffa6643478cdf22629,12,3,10,54,0.0,
01f4ac3dc096e35ea7be09b895d03383ec11b499,1,1,1,1,0.0,
01f6e87ca1d59662e4a17844101798166a641f27,1,1,1,1,0.0,
01f7d0c37d13fe4e7d2789da369d86c119bca5b1,8,3,6,40,0.0,
01fc20b548b00b661da8168e13a393a7749588c3,15,5,7,69,0.0,
01fd8fb2e4f9cbb5e82c4da965eef48dc5e36df5,1,1,1,1,0.0,
01fd8fead686afe4be5fedddeb61b074fa945d8a,14,5,7,48,0.0,
01fdc520156d3de0011be939c9adc5fb3edc1288,2,2,1,2,0.0,
01ffe21318393b4ffebf4ebd1d87b20958c2817f,1,1,1,1,0.0,
0200554e8d397da11a06626f977c6991479d633e,2,1,2,36,0.0,
0203d950b06a1be30ce59576fc897b907a251bba,8,4,7,59,0.0,
0206658c3c40bd595223e8443f51dd53e0bdc973,1,1,1,1,0.0,
0206867fce23fe90ebf6b3aae412752a90b53a6f,3,1,3,46,0.0,
02070b40f421bf220b907fee186181fa91e5d117,4,3,3,24,0.0,
02089658ab340b23425de227707294f672ca975b,2,1,2,17,0.0,
0208b538d7b4fcbd8923f6832f9f0090a3e049dc,1,1,1,1,0.0,
020b5ea3d4cde2daabe4ca712036d83f9fbfed54,2,2,1,2,0.0,
020c0000de44527a2e1c17e46a69526bfd227460,7,2,6,34,0.0,
020e055257b4880dc1db5a747ebedb5ab3873b9c,1,1,1,1,0.0,
02100d54e7aefa65e24d5d0ae83cd7356dcd9f13,1,1,1,1,0.0,
02102502839938fdf3853f9a456f312c3631c175,41,5,12,68,1.0,ISG
0210d9b0d12671798fbaee93ff9dc6eda73527e8,1,1,1,1,0.0,
0213fd522cea0eaa1f7b44a8c2797495cd5dad3e,6,3,5,58,0.0,
0217f1181af31b82079ae963eff354e7abad7678,5,2,4,25,0.0,
021bdf16509d12e98cbbc090b79340db4bf394a2,1,1,1,1,0.0,
021dad7a7d92c4ed6e727992f724a433fa4c89f9,39,6,12,66,1.0,INF
0221001b39508f769d0f1f016467ef7ea5018636,3,3,2,13,0.0,
0224068115b9b22a7df19d8e06b870dbe07d49a6,5,3,4,21,0.0,
0229c3a29ae199953f404ded10b71a600780f35e,1,1,1,1,0.0,
022a2bae262593684657b32f70134f38aa195203,6,1,6,49,0.0,
022a7033f5347169c383732e71ed1b22741c1556,1,1,1,1,0.0,
022c9b247eb2e39d2926f271477727665e76ed86,1,1,1,1,0.0,
022d50caeff186e459d670fab694ed3527221f7c,2,1,2,32,0.0,
022facdeeb782de048b2684d60f1556f4936c247,1,1,1,1,0.0,
0236063da0559bb8d22c8af057a3bc745e583cdc,2,1,2,25,0.0,
02377a8d1903b700585080a76b5d6d74f2b544f0,6,1,6,46,0.0,
0238ea72c87b13e4c7d61ff3318facdd5f9dcef9,7,3,3,50,0.0,
023ca92fe33b79399af60a76e2ce0dc5ba48f65e,3,1,3,15,0.0,
023cb171678969e0deaa4f252a6653581ea0761a,3,2,3,53,0.0,
023d418f165aef5055a8659d772fe86625e16052,4,3,3,24,0.0,
0243ce5c2f90de17a956dfce09e20dbb5d129015,2,2,2,18,0.0,
02490ebd67fc406909c946fb612fbf3092cd7e53,8,4,6,61,0.0,
024fa5544d77e8eb47f2d361718aa93ca6405e47,3,3,2,8,0.0,
02504745f5698e016c3cc131b7f9f6a81ec5c890,5,3,4,55,0.0,
02525cd28551264698cbcb8acfea3b2d0d04d0c9,1,1,1,1,0.0,
0258b19725622043704a278c6c4f36044e203c7d,4,2,3,39,0.0,
025aa8d5cf60890a1d048030a7308d0db35104c0,2,1,2,15,0.0,
025ac9d447e4ac4624401355fac34fe49bbf5996,2,2,2,36,0.0,
0260241c099120a114bb8c9710b5d305ca319d29,1,1,1,1,0.0,
